"仙豆のちからnap box 函館店",北海道函館市本町３２ー２７　ソシアルケイオービル２階 ,電車道路沿い、丸井今井さんと野村證券さんの間を入りましたら、200m程直進していただくと右手に鶏白湯そば　星さんがございます。そのビルの2階にサロンがございます。 ,１０：００～１９：００ ,毎週木曜日（スタッフの出勤に応じて臨時休業あり） ,【OPEN記念】口コミ限定「頭ほぐし30分コース」,【OPEN記念】napboxスタンダードコース「頭・首ほぐし50分コース」,【OPEN記念】まずはお試し♪「頭ほぐし30分コース」,https://beauty.hotpepper.jp/kr/slnH000659627/?cstt=11,https://imgbp.hotp.jp/CSP/IMG_SRC_K/65/09/C034806509/C034806509.jpg?impolicy=HPB_policy_default&w=419&h=314
Beauty&Healthy　Labo　MIERA,"北海道札幌市中央区南３条西５丁目１番地　SYOKUSAN３・５ビル　７階  ","地下鉄すすきの駅2番出口より西に向かい、１本目の信号を渡り（ファミリーマート）、右折すると観覧車のあるノルベサビルがございます。その隣のビル7階が当サロンです（ ビル入口内、左手のエレベーターから直結）。１階にはウエディングドレス店の『DESTINA』様がございます。大通り側～狸小路4・5丁目の間を36号線の道路に向かって真っ直ぐ進んで頂きますとノルベサビルが右手に見えてきます。その後は上記と同じでございます。 ",11：00～22：00（最終受付は施術時間により異なります）※施術時間が22時を超える場合は夜間料金を頂いております。【ヘッドスパ/マッサージ/整体/オイル/リンパマッサージ/もみほぐし/ペアルーム/massage】 ,不定休、年末年始【ヘッドスパ/マッサージ/整体/オイル/リンパマッサージ/もみほぐし/ペアルーム】 ,《大人気No.2》【ボディケア+頭筋ヘッドスパ120分】¥17000→¥10300,夢ごこち♪【アロマオイルマッサージ+ヘッドスパ100分】¥14400→¥9400,《人気No.1》【アロマ+頭筋ヘッドスパor足ツボ120分】¥18000→¥10400,https://beauty.hotpepper.jp/kr/slnH000476116/?cstt=12,https://imgbp.hotp.jp/CSP/IMG_SRC_K/15/08/C037711508/C037711508.jpg?impolicy=HPB_policy_default&w=419&h=314
"ホリスティック ドライヘッドスパ","北海道帯広市西１４条北２丁目１ー３　IN GOLD-D ","なごやか亭様横の【釣り具の釣り人帯広店様】と【贈り物専科エレガ本店様】の間の道路を北に進み2本目を左折しましたら、突き当たりに青い2階建てのマンションが２棟L字型にございます。　IN GOLD のＤ号室となります。駐車場は目の前の「４」番に駐車願います。分からなければ、遠慮なくお電話下さい。 ",10:30～17：00(最終受付時間　16：00) ,土曜日、日曜日、祝日 ,大人気ハンドトリートメント10分が付いたお手軽スパ（ドライヘッドスパ30分）,お誕生月だけの特別企画ドライヘッドスパ40分＆粗品プレゼント♪,カラダポカポカめぐりのドライヘッドスパ60分（10分ハンドトリートメント付）,https://beauty.hotpepper.jp/kr/slnH000660401/?cstt=13,https://imgbp.hotp.jp/CSP/IMG_SRC_K/78/81/C038997881/C038997881.jpg?impolicy=HPB_policy_default&w=419&h=314
睡眠改善ドライヘッドスパ　sharanam＆yoga【シャラナム】,北海道札幌市豊平区美園７条８丁目　※住所詳細は予約完了後にお伝えします ,美園駅３番出口を出ると右側にアパマンショップがあります。そのビルを右に曲がって真っ直ぐ行くとローソンがあります。当日予約の方はローソンまで来たら電話をください。前日までにご予約の方は予約の前日にメールで住所詳細をお伝えしております。メールを受け取らない設定にしている方はローソンまで来たらお電話ください。 ,10:00～19:00 ,不定休 ,【専門店だからできる！睡眠の質改善】新感覚ドライヘッドスパ45分　¥5000,【クチコミ投稿約束】500円分のオプションを当日プレゼント◎,【睡眠の質改善】広瀬式ドライヘッドスパ　至福の60分コース　¥8000,https://beauty.hotpepper.jp/kr/slnH000678989/?cstt=14,https://imgbp.hotp.jp/CSP/IMG_SRC_K/45/45/C038334545/C038334545.jpg?impolicy=HPB_policy_default&w=419&h=314
"so'l/uta 旭神店",北海道旭川市旭神２条３丁目１－１９ ,旭神のメイン通りのガソリンスタンド交差点を豊岡方面に入り、コンビニを過ぎ1本目を右に曲り1本目を左に曲がりますと駐車場がございます。旭川駅南口より南6条通りを東光方面へ進み、コンビニの交差点を右に曲がり、緑東大橋を渡り信号の1本手前を左に曲がり、1本目を左に曲がりますと駐車場がございます。駐車場手前の横長の建物、1番手前が入り口となっております。 ,10:00～21:30 ,月曜日 ,"当店人気No,1★【完全個室】至福の眠りドライヘッドスパuta60分¥4800",【冬季限定】ホットアイ付★全身もみほぐし+首肩オイルリンパマッサージ90分,【uta】至福の寝落ち...★全身もみほぐし60分＋ヘッドスパ60分計120分¥8000,https://beauty.hotpepper.jp/kr/slnH000628013/?cstt=15,https://imgbp.hotp.jp/CSP/IMG_SRC_K/44/67/C039294467/C039294467.jpg?impolicy=HPB_policy_default&w=419&h=314
"Salon de Luce【サロンドルーチェ】",北海道札幌市北区北７条西５丁目６-１ストークマンション札幌３０７号 ,"札幌駅北口をでて,階段を下りて左に道なりに進みます。大きな交差点を斜めにセブンイレブン方向に渡り、左を直進。（左がヨドバシカメラさんになります）しばらく進みますと右側にイタリアンのミアボッカさんがあるビルが当サロンです。エレベーターで3階に上がりまして、左奥のお部屋です。 ",不定休　9時半～21時　メニューにより最終受付が異なります。時間外をご希望の方はお気軽にお問い合わせください♪ ,不定休 ,【ペアでよもぎ蒸し】仲良く温活！よもぎ蒸し40分　お得にペアで5000円♪,【小顔メニュー1位】お得に小顔超音波+アロマ30分　4800円,【5名様限定】ギフト付き！　選べるオーダー施術１２０分　１５０００円♪,https://beauty.hotpepper.jp/kr/slnH000453573/?cstt=16,https://imgbp.hotp.jp/CSP/IMG_SRC_K/63/31/C020346331/C020346331.jpg?impolicy=HPB_policy_default&w=419&h=314
"muhl byDILL",北海道札幌市中央区南１条西６丁目２１－１　センチュリーヒルズ９Ｆ ,地下鉄大通駅1番出口を出て、大通り公園に沿って西側へ進みます。富士フイルムさん側に横断歩道を渡り1ブロック進み北海道医師会館を左折。市電側に進むと左手にセンチュリーヒルズがあります。1Fにオニヤンマコーヒーさんがあり、サロンは9Fの1番奥903号室です。市電通りからご来店の場合はザ・ジョンソンストアさんの反対側の歩道を西に進み、北海信金を通過しジョブキタさんのビルを右に曲がった隣のセンチュリーヒルズです。 ,10:00～21:00 ,不定休 ,"【カネタ限定】足→頭＋ヘッドスパ90分＋頭浸浴付き12,000円",【カネタ限定】目元or手腕肩＋ヘッドスパ60分ブロー付き6000円,"【カネタ限定】足→頭＋ヘッドスパ90分＋頭浸浴付き12,000円",https://beauty.hotpepper.jp/kr/slnH000588431/?cstt=17,https://imgbp.hotp.jp/CSP/IMG_SRC_K/59/71/C032175971/C032175971.jpg?impolicy=HPB_policy_default&w=419&h=314
ヘッドスパサロン　Calme【カルム】,北海道札幌市中央区南１条西２５丁目２－２０　サルーテ円山公園４０３号室 ,"地下鉄東西線円山公園駅4番出口を出てすぐ右の道へ進み「円山公園歯科」「日本料理まるやま かわなか」が見え、そのまま進んでいただくと1階がレンガ・2～4階がコンクリートのマンションがございます。1階にある赤と白のストライプの看板が目印です。そちらの403号室が当店となります。 ",【10:00～19:00】受付開始10:00～最終受付17:30（ご希望の施術コース時間により変動有り）その日の予約が終了次第、閉店いたします。 ,毎週月曜日、火曜日・年末年始（その他、臨時休業有り） ,【アーユルヴェーダヘッドスパ】目のお疲れ/肩こりに◎　70分,【頭～脚までトータルケア】頭皮/ヘア/疲労回復◎ラグジュアリースパ120分,【3月monthlyクーポン】デコルテオイルリンパ×ヘッドスパ90分,https://beauty.hotpepper.jp/kr/slnH000585427/?cstt=18,https://imgbp.hotp.jp/CSP/IMG_SRC_K/31/58/C038553158/C038553158.jpg?impolicy=HPB_policy_default&w=419&h=314
"PARAFUSE.札幌店 Brange【パラフューズ札幌店ブランジュ】～小顔・脱毛～",北海道札幌市西区発寒６条１４丁目１７－５ ,札幌市西区発寒6条14丁目１７－５　白い戸建てのサロンです。JR発寒駅から南口を降りて南に歩き一つ目の信号渡って右折し公園の角を左折して、しばらくまっすぐ歩くと右手に、「のりすけ」という黒い建物のお店があり、そこを右折し３軒目。地下鉄宮の沢駅から１番出口を出て右方向へまっすぐ歩き右手にある床屋さんを右折し歩き右手に「くもん」の塾があるので、そこを過ぎて１本目の角を左折して右側３軒目。 ,10:00～19:00営業時間外もご希望があれば対応致します。 ,不定休 ,【頭リセット】当サロン人気NO1　脳洗浄ヘッドスパ小顔　100分　¥16500,"最新機器導入キャンペーン♪全身美肌脱毛（顔・VIO込） ¥8800",【頭リセット】当サロン人気NO1　脳洗浄ヘッドスパ小顔100分￥16500→￥13200,https://beauty.hotpepper.jp/kr/slnH000510215/?cstt=19,https://imgbp.hotp.jp/CSP/IMG_SRC_K/01/38/C028740138/C028740138.jpg?impolicy=HPB_policy_default&w=419&h=314
ひなたくち～頭と心をほぐすヘッドスパサロン～,北海道札幌市中央区北１条西１９丁目２－８　グレーストーンビル　２F ,西１８丁目駅１番出口徒歩５分。１階に『味楽』という赤くて大きな看板の中華屋さんが入っているビルの２階です。ビル向かって左側に扉があります。　　　　　　　　　　　　　※施術中の営業のお電話は、お客様のお休みの妨げになります。AM9時-10時の間またはPM19時以降でお願いします。その他の時間のお客様以外のお電話は受け付け出来ませんのでご了承願います。 ,10:00～19:00(最終受付） ,無 ,【オーナーメニュー】強揉み★社長のメンテナンスコース　120分¥14000,"【短時間】ドライヘッドスパ60分 ¥8000→¥6500　頭/首肩/脚",【人気no.１★】ドライヘッドスパ95分×肩甲骨はがし　¥11500→¥9500,https://beauty.hotpepper.jp/kr/slnH000574871/?cstt=20,https://imgbp.hotp.jp/CSP/IMG_SRC_K/98/11/C032579811/C032579811.jpg?impolicy=HPB_policy_default&w=419&h=314
～タイ式整体・リンパオイルマッサージ・ヘッドスパ～　CALMOANA【カルモアナ】,北海道札幌市中央区南２条西６丁目１７－５　TAIYO　bld.　２・６　３０１ ,"【地下鉄大通駅 １番出口】を出て、西側(左)へ進み一つ目の信号を渡り左折して進みます。交差点の角にコメダ珈琲さんがあります。右折し進むとセブンイレブンが見えてきます。信号渡らず左へ曲がり、まっすぐ進むと【TAIYOｂｌｄ2・6】の看板が見えてきます。ビル1階にある小料理　衣さんの看板が目印です。向かいにはホテルウィンダムガーデン札幌大通さんがございます。当ビル3階のエレベーターを降りて右奥にございます。  ",10：00～20:00（最終受付18:30）9時からオープンの日もございます。予約ページでご確認ください。臨機応変に対応致しますので予約が取れない、時間が間に合わないなどお困りの際はご相談ください。 ,不定休 ,"【男性専用】アロマオイル120分 【表層と深層の両方にアプローチ】",《人気No.2》本来の自分に還るご褒美の180分☆全部おまかせコース,《人気NO1》タイ古式整体120分【今夜は熟睡！肩甲骨のだるさ慢性疲労解消に】,https://beauty.hotpepper.jp/kr/slnH000652231/?cstt=21,https://imgbp.hotp.jp/CSP/IMG_SRC_K/34/69/C038823469/C038823469.jpg?impolicy=HPB_policy_default&w=419&h=314
"ヘッドスパ専門サロン　SCAL QUICK　 札幌大通店 【スカルクイック】",北海道札幌市中央区南１条西４ー５ー１大手町ビルＢ１Ｆ ,地下鉄大通駅10番出口から南に歩いていただき、信号を渡ったところで右折後、左手にある2つ目のビルがに大手町ビルになります。個室での癒しの空間をぜひご堪能下さい♪リラクゼーション/ヘッドスパ/ウェットスパ/個室/札幌/大通/ヘッドスパ大通/ヘアケア/スカルプケア/頭皮ケア/保湿/快眠/トリートメント/炭酸スパ/小顔 ,10:00～21:00 ,不定休 ,"【頭浸浴×ヘッドスパ♪】極上リラクゼーションスパ80分12,650円→10,800円","【新規限定☆オトクな平日割】リラクゼージョンスパ90分　13,200円→9,800円",【頭痛・肩こりに◎】炭酸付きスカルプケアスパ90分14300円→12800円,https://beauty.hotpepper.jp/kr/slnH000330401/?cstt=22,https://imgbp.hotp.jp/CSP/IMG_SRC_K/88/03/C030938803/C030938803.jpg?impolicy=HPB_policy_default&w=419&h=314
"脱毛/再生美容/ドライヘッドスパ　Vita dorata【ヴィータドラータ】",北海道札幌市中央区南３条西３丁目１１番地　Ｎ・ＭＥＳＳＥビル　３Ｆ ,狸小路３丁目を背に３丁目と２丁目の間を右手(すすきの方面)に曲がりますと、すぐ右手にあるびっくりドンキーさんが入っているビルの３階にございます。３階でエレベーターを降りましたら、右手に進み左手角に当サロンがございます。#脱毛#フェイシャル#バストアップ#痩身#毛穴洗浄 ,平日11:00-20:00土日祝10:00-19:00※営業、勧誘の電話や訪問は固くお断り致します。接客中など出られない場合がございます。予約枠がバツでもご予約可能な場合がございます。お電話か公式ラインでお問い合わせ下さい ,不定休/時間外はご相談ください。#脱毛#フェイシャル#バストアップ#痩身#毛穴洗浄#ヘッドスパ ,"当日予約人気No.1【快眠】気づいたら寝てるドライヘッドスパ30分¥2,500","【快眠】気づいたら寝てる極上ドライヘッドスパ60分¥6,800→¥4,800",寝ながらジム気分♪ダイエット★次世代EMS！通常5800円⇒1980円,https://beauty.hotpepper.jp/kr/slnH000460070/?cstt=23,https://imgbp.hotp.jp/CSP/IMG_SRC_K/63/44/C036316344/C036316344.jpg?impolicy=HPB_policy_default&w=419&h=314
美容健康サロンMICLS,北海道帯広市西２条南３丁目９－１　２０３ ,帯広駅北口から西2条通りを北に900Ｍ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　・からだサポート2階・手打蕎麦たじま様向かい側※駐車場は当サロンから南側にある帯広川川沿いに駐車ください。 ,７:00～20:00 ,木曜日（女性スタッフのみ） ,【女性限定】極上ドライヘッドスパ＋オイルトリートメント（90分),【女性限定】2回目極上ドライヘッドスパ（40分）,【女性限定】首肩コリ改善！極上ドライヘッドスパ（40分）¥4500⇒¥3500,https://beauty.hotpepper.jp/kr/slnH000654560/?cstt=24,https://imgbp.hotp.jp/CSP/IMG_SRC_K/47/58/C035934758/C035934758.jpg?impolicy=HPB_policy_default&w=419&h=314
"フェイシャル＆ヘッドスパbeauty records",北海道札幌市中央区南１条西１丁目シルキービル６０５ ,地下鉄大通駅34番出口から創成川に向かい、ローソンを右手に曲がります。ウサギ屋さんの隣のシルキービルの6階奥の605です。 ,10:00～18:00 ,不定休 ,"【頭/顔/首】整形級フルエステ 14300",【うたた寝必須!お悩み別】頭筋リリースアロマウェットヘッドスパ60分¥5500,"【頭/顔/首】整形級フルエステ 14300",https://beauty.hotpepper.jp/kr/slnH000692618/?cstt=25,https://imgbp.hotp.jp/CSP/IMG_SRC_K/35/22/C039293522/C039293522.jpg?impolicy=HPB_policy_default&w=419&h=314
"Laki ドライヘッドスパ　ライトエステ",大通駅3番出口、右側の階段を上り地上に出ます。左側の信号を渡り左に曲がります。1つ目の角を右に曲がると『TANIビル』があります。一階に日本料理の「をとわ」、「ちかま歯科」の看板が目印のビル、6階601号室になります。◆市電西4丁目駅からも徒歩3分以内◆ ,オンラインでの予約は月～土17時～21時、日曜日は11時～21時がご予約可能。毛穴ケア・毛穴洗浄フェイシャルは平日12時から可能。17時より前のご予約希望の方はLINEにてご予約承っております。LINE検索は@860dizhx ,不定休 ,"Visa／Mastercard／JCB／American Express／Diners Club／paypay ",,,,https://beauty.hotpepper.jp/kr/slnH000464131/?cstt=26,https://imgbp.hotp.jp/CSP/IMG_SRC_K/09/16/C039280916/C039280916.jpg?impolicy=HPB_policy_default&w=419&h=314
"ヘッドスパ専門サロン　SCAL QUICK　札幌駅前店　【スカルクイック】",北海道札幌市中央区北４条西４丁目伊藤・加藤ビル　B１F ,札幌駅地下道からスピーディ直結！外に出ずにご来店していただけます♪雨の日、雪の日もご安心ください♪ ,平日11:00～21:00　土日祝10:00～20:00　 ,無休 ,"【地肌ケア◎血行促進♪】炭酸ヘッドスパ 70分　¥13,200→¥11,000","【頭皮と髪の栄養補給♪】はちみつスパ 70分　¥12,650 → ¥9,300","【眼精疲労◎マッサージ延長】 ほっこり揉みスパ 80分　¥13200→¥10000",https://beauty.hotpepper.jp/kr/slnH000143583/?cstt=27,https://imgbp.hotp.jp/CSP/IMG_SRC_K/66/96/C000076696/C000076696.jpg?impolicy=HPB_policy_default&w=419&h=314
ボディフェイシャルサロンYura～タイ古式・オイルリンパマッサージ～,北海道札幌市中央区大通西１５丁目１－１２　マンションオオドオリ９０５ ,地下鉄東西線「西18丁目」駅を下車→5番出口を出て東方面（大通公園方面）へ徒歩2分 ,11:00～19:00 ,不定休（年末年始） ,【人気No1＊全身の疲労に】Detoxオイルリンパ+ドライヘッド90分,【人気No.2＊身体が硬くて不安と言う方にこそ◎】タイ古式＋ドライヘッド90分,【お顔の歪み・食いしばりに】頭も目もスッキリ小顔矯正フェイシャル100分!!,https://beauty.hotpepper.jp/kr/slnH000665086/?cstt=28,https://imgbp.hotp.jp/CSP/IMG_SRC_K/68/64/C038506864/C038506864.jpg?impolicy=HPB_policy_default&w=419&h=314
"asian relaxation villa 東札幌店 ～もみほぐし/タイ古式/バリ式リンパ/美容鍼～",北海道札幌市白石区東札幌２条２丁目４－１０　αＮＥＸＴ東札幌２Ｆ ,"＜南郷通沿い＞  地下鉄東札幌徒歩1分。アセントイン札幌・イオン東札幌向かい。ラソラ札幌から徒歩4分 ",11：00～21：00（最終受付20：00） ,12/31～1/3 ,【ヴィラ人気NO1クーポン】バリ式リンパマッサージ60分+もみほぐし30分,"【男女共通】初めての方に♪タイ古式マッサージ60分　¥4,500",自律神経の乱れに★タイ古式マッサージ45分＋もみほぐし45分,https://beauty.hotpepper.jp/kr/slnH000595833/?cstt=29,https://imgbp.hotp.jp/CSP/IMG_SRC_K/90/83/C031669083/C031669083.jpg?impolicy=HPB_policy_default&w=419&h=314
"快眠 ドライヘッドスパ専門店 nature 函館",北海道函館市東山１丁目１４－２０ ,車：函館駅から15分・五稜郭公園から7分。バス：東山公園バス停留所より徒歩7分。産業道路を湯川方面に走り、ベガスベガス神山店を左折。2本目の十字路を左折し進んだ右角になります。（北欧風レンガ調のお家です）住宅街の一角にあります。ご来店の際はインターホンを押してください。 ,10：00～18：00(最終受付17：00) ,毎週火曜日 ,"≪月曜日限定≫スタンダード【ドライヘッドスパ70分】¥8,250→¥5,720","≪目がお疲れの方≫【ドライヘッドスパ+EYEスパ/80分】¥9,350→¥7,920","≪癒しの６０分♪≫【ドライヘッドスパ スタンダード/60分】￥7,150→￥5,720",https://beauty.hotpepper.jp/kr/slnH000603408/?cstt=30,https://imgbp.hotp.jp/CSP/IMG_SRC_K/06/35/C029160635/C029160635.jpg?impolicy=HPB_policy_default&w=419&h=314
